cdc_id,PID,title,authors,publication_date,landing_page,pdf_url,local_pdf,screening_status,prevention_score,treatment_score
20422,cdc:20422,Factors Predicting Glycemic Control in Middle-Aged and Older Adults With Type 2 Diabetes,"Chiu\, Ching-Ju,Wray\, Linda A.",,https://stacks.cdc.gov/view/cdc/20422,https://stacks.cdc.gov/view/cdc/20422/cdc_20422_DS1.pdf,source_documents/cdc_20422.pdf,Maybe,4,5
4092,cdc:4092,Development of the Diabetes Indicators and Data Sources Internet Tool (DIDIT),"Mukhtar\, Qaiser,Mehta\, Prachi,Brody\, Erica R.,Camponeschi\, Jenny,Friedrichs\, Michael,Ralls\, Brenda,Kemple\, Angela M.",,https://stacks.cdc.gov/view/cdc/4092,https://stacks.cdc.gov/view/cdc/4092/cdc_4092_DS1.pdf,source_documents/cdc_4092.pdf,Maybe,4,0
150999,cdc:150999,Risk Prediction Score for Chronic Kidney Disease in Healthy Adults and Adults With Type 2 Diabetes: Systematic Review,"González-Rocha\, Alejandra,Colli\, Victor A.,Denova-Gutiérrez\, Edgar",,https://stacks.cdc.gov/view/cdc/150999,https://stacks.cdc.gov/view/cdc/150999/cdc_150999_DS1.pdf,source_documents/cdc_150999.pdf,Maybe,3,2
49464,cdc:49464,A Diabetic Retinopathy Screening Tool for Low-Income Adults in Mexico,"Mendoza-Herrera\, Kenny,Quezada\, Amado D.,Pedroza-Tobías\, Andrea,Hernández-Alcaraz\, Cesar,Fromow-Guerra\, Jans,Barquera\, Simón",,https://stacks.cdc.gov/view/cdc/49464,https://stacks.cdc.gov/view/cdc/49464/cdc_49464_DS1.pdf,source_documents/cdc_49464.pdf,Maybe,3,4
26402,cdc:26402,Ohio Primary Health Care Providers’ Practices and Attitudes Regarding Screening Women With Prior Gestational Diabetes for Type 2 Diabetes Mellitus — 2010,"Rodgers\, Loren,Conrey\, Elizabeth J.,Wapner\, Andrew,Ko\, Jean Y.,Dietz\, Patricia M.,Oza-Frank\, Reena",,https://stacks.cdc.gov/view/cdc/26402,https://stacks.cdc.gov/view/cdc/26402/cdc_26402_DS1.pdf,source_documents/cdc_26402.pdf,Maybe,3,0
26132,cdc:26132,"Trends in Diabetes and Cardiometabolic Conditions in a Canadian First Nation Community, 2002–2003 to 2011–2012","Riediger\, Natalie D.,Lix\, Lisa M.,Lukianchuk\, Virginia,Bruce\, Sharon",,https://stacks.cdc.gov/view/cdc/26132,https://stacks.cdc.gov/view/cdc/26132/cdc_26132_DS1.pdf,source_documents/cdc_26132.pdf,Maybe,3,0
23491,cdc:23491,A Self-Management Intervention for African Americans With Comorbid Diabetes and Hypertension: A Pilot Randomized Controlled Trial,"Lynch\, Elizabeth B.,Liebman\, Rebecca,Ventrelle\, Jennifer,Avery\, Elizabeth F.,Richardson\, DeJuran",,https://stacks.cdc.gov/view/cdc/23491,https://stacks.cdc.gov/view/cdc/23491/cdc_23491_DS1.pdf,source_documents/cdc_23491.pdf,Maybe,3,6
19714,cdc:19714,Lasting Effects of a 2-Year Diabetes Self-Management Support Intervention: Outcomes at 1-Year Follow-Up,"Tang\, Tricia S.,Funnell\, Martha M.,Oh\, Mary",,https://stacks.cdc.gov/view/cdc/19714,https://stacks.cdc.gov/view/cdc/19714/cdc_19714_DS1.pdf,source_documents/cdc_19714.pdf,Maybe,3,6
19744,cdc:19744,Cost-Effectiveness Analysis of a Community Health Worker Intervention for Low-Income Hispanic Adults with Diabetes,"Brown\, H. Shelton,Wilson\, Kimberly J.,Pagán\, José A.,Arcari\, Christine M.,Martinez\, Martha,Smith\, Kirk,Reininger\, Belinda",,https://stacks.cdc.gov/view/cdc/19744,https://stacks.cdc.gov/view/cdc/19744/cdc_19744_DS1.pdf,source_documents/cdc_19744.pdf,Maybe,3,0
20487,cdc:20487,"Identifying Populations at High Risk for Diabetes With the Behavioral Risk Factor Surveillance System, Rhode Island, 2003","Wojcik\, Kathryn,Gjelsvik\, Annie,Goldman\, Dona",,https://stacks.cdc.gov/view/cdc/20487,https://stacks.cdc.gov/view/cdc/20487/cdc_20487_DS1.pdf,source_documents/cdc_20487.pdf,Maybe,3,0
20068,cdc:20068,A Church-based Diabetes Self-management Education Program for African Americans With Type 2 Diabetes,"Samuel-Hodge\, Carmen D.,Keyserling\, Thomas C.,France\, Renaé.,Ingram\, Allyson F.,Johnston\, Larry F.,Pullen Davis\, Lisa,Davis\, Gwen,Cole\, Anne S.",,https://stacks.cdc.gov/view/cdc/20068,https://stacks.cdc.gov/view/cdc/20068/cdc_20068_DS1.pdf,source_documents/cdc_20068.pdf,Maybe,3,5
