PID,DS1.mimetype_txt_en,DS7.mimetype_txt_en,DS7.sourceurl,DS15.filesize_tl,DS11.filesize_tl,DS5.filesize_tl,DS1.filesize_tl,DS9.filesize_tl,DS8.sourceurl,DS6.mimetype_txt_en,DS6.sourceurl,DS13.filesize_tl,DS3.filesize_tl,DS13.mimetype_txt_en,DS9.mimetype_txt_en,DS4.filesize_tl,DS14.mimetype_txt_en,DS2.sourceurl,DS7.filesize_tl,DS15.mimetype_txt_en,DS8.mimetype_txt_en,DS4.mimetype_txt_en,DS14.filesize_tl,DS10.filesize_tl,DS3.sourceurl,DS4.sourceurl,mods.type_of_resource,DS6.filesize_tl,DS8.filesize_tl,DS11.mimetype_txt_en,DS5.mimetype_txt_en,DS12.mimetype_txt_en,DS10.mimetype_txt_en,DS5.sourceurl,DS3.mimetype_txt_en,DS2.filesize_tl,DS1.sourceurl,DS12.filesize_tl,DS2.mimetype_txt_en
cdc:20039,application/pdf,image/jpeg,,,,33177,228686,,,image/gif,,,46007,,,1031,,,26258,,,image/gif,,,,,Journal Article,1032,,,image/jpeg,,,,text/plain,532,,,text/plain
cdc:50304,application/pdf,,,,,,289168,,,,,,1945,,,42392,,PCD-14-E130.nxml,,,,image/jpeg,,,PCD-14-E130s01.gif,PCD-14-E130s01.jpg,Journal Article,,,,,,,,image/gif,47158,PCD-14-E130.pdf,,text/xml
cdc:31366,application/pdf,,,,,,352646,,,,,,77094,,,,,,,,,,,,,,Journal Article,,,,,,,,text/plain,529,,,text/plain
cdc:20117,application/pdf,,,,,,277524,,,,,,57522,,,,,,,,,,,,,,Journal Article,,,,,,,,text/plain,531,,,text/plain
cdc:151110,application/pdf,,,,,5147,710511,,,image/jpeg,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E81/PCD-20-E81s02.jpg,,4119,,,82066,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E81/PCD-20-E81.nxml,,,,image/jpeg,,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E81/PCD-20-E81s01.gif,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E81/PCD-20-E81s01.jpg,Journal Article,76466,,,image/gif,,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E81/PCD-20-E81s02.gif,image/gif,152163,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E81/PCD-20-E81.pdf,,text/xml
cdc:20068,application/pdf,,,,,90214,394832,,,,,,103223,,,4540,,,,,,image/gif,,,,,Journal Article,,,,image/jpeg,,,,text/plain,531,,,text/plain
cdc:49464,application/pdf,,,,,,457666,,,,,,1920,,,40899,,PCD-14-E95.nxml,,,,image/jpeg,,,PCD-14-E95s01.gif,PCD-14-E95s01.jpg,Journal Article,,,,,,,,image/gif,110014,PCD-14-E95.pdf,,text/xml
cdc:40971,application/pdf,,,,,,575420,,,,,,,,,,,,,,,,,,,,Journal Article,,,,,,,,,176091,,,application/octet-stream
cdc:52337,application/pdf,,,,,,223264,,,,,,,,,,,PCD-15-E15.nxml,,,,,,,,,Journal Article,,,,,,,,,32219,PCD-15-E15.pdf,,text/xml
cdc:48070,application/pdf,,,,,,369758,,,,,,3403,,,61429,,PCD-14-E69.nxml,,,,image/jpeg,,,PCD-14-E69s01.gif,PCD-14-E69s01.jpg,Journal Article,,,,,,,,image/gif,66379,PCD-14-E69.pdf,,text/xml
cdc:55292,application/pdf,,,,,1968,420588,,,image/jpeg,PCD-15-E50s02.jpg,,3410,,,43095,,PCD-15-E50.nxml,,,,image/jpeg,,,PCD-15-E50s01.gif,PCD-15-E50s01.jpg,Journal Article,29098,,,image/gif,,,PCD-15-E50s02.gif,image/gif,81687,PCD-15-E50.pdf,,text/xml
cdc:40762,application/pdf,,,,,,319329,,,,,,,,,,,,,,,,,,,,Journal Article,,,,,,,,,69781,,,application/octet-stream
cdc:46733,application/pdf,image/jpeg,PCD-14-E51s02.jpg,,,25643,373526,,,image/gif,PCD-14-E51s02.gif,,89844,,,1684,,16_0604Appendix.docx,24412,,,image/gif,,,PCD-14-E51.nxml,PCD-14-E51s01.gif,Journal Article,1662,,,image/jpeg,,,PCD-14-E51s01.jpg,text/xml,133188,PCD-14-E51.pdf,,application/vnd.openxmlformats-officedocument.wordprocessingml.document
